Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
Clash (feat. Stormzy),Dave,2021-07-08,GBUM72103840,2898,25,237619076,109634,9288222,61,83880421,827499,29127,12773383,121310762,13321285,68,6889,6,10,95781,21,248457,109,3265268,995591,1
Salt (The Remixes),Ava Max,2019-12-12,USAT21906991,2891,25,388802420,56080,8025213,62,267992366,1873271,416848,90667312,1836584524,16367818,49,178796,86,41,423672,6,36658628,20389,6142628,4056404,0
Fire On Fire,Sam Smith,2018-12-21,GBUM71807533,2900,25,697834321,85430,22166821,70,408377555,3474229,845344,162079342,1362132192,462620095,23,3131,86,11,104452,9,39317515,45186,3265268,4296434,0
Problema,Carlos Agassi,2023-09-27,TCAHM2313718,2904,25,125395,32,2558,67,148269610,1257935,1100739,21961859,325076048,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,380,1
Down to Earth,TAEYANG,2023-04-25,KSA002300722,2903,25,156994096,14231,5565204,61,147699486,22687,15086,27140570,180459570,53993902,17,3500,18,3,19908,11,959435,375,3265268,628505,0
Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),Quality Control,2019-05-29,USUG11900730,2931,25,239850720,49483,7561353,58,137567703,1400248,494841,93154485,592960684,14347458,20,15,86,4,205,9,74465169,23860,51398155,2282568,1
Boyz In Paris (with VINAI),Marnik,2023-07-28,FR9W12333643,2919,25,136709117,28764,62770976,73,5623146,62157,1046,438190,11060327,3380195,34,17195,86,72,1464103,16,12735768,7818,3265268,1065826,1
"Don't Forget About Me, Demos",Dominic Fike,2018-10-16,USQX91802455,2929,25,987061577,170786,42953760,73,118458946,1182389,87128,32067807,219224269,5644556,164,5728,178,65,915322,27,18478625,37571,3265268,5057667,0
Trench to Triumph,Crayon,2023-07-21,US23A1567556,2928,25,48581084,11373,7780743,65,35448614,206819,549399,23105995,270727164,65962506,38,3397,9,2,51430,22,21965,146,3265268,1291258,0
i am not who i was - Single,Chance Peï¿½,2023-09-21,QZTPX2322912,2910,25,188215390,24322,21529351,67,3624497,1257935,6448,2220665,21944041,29364635,6,1022,217,3,1026164,17,9796656,668,3265268,222417,0
Single Again,Harmonize,2023-02-19,HKC371724447,2915,25,239850720,3,4,67,31741874,229907,1904084,16348061,230507109,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,0
July,Noah Cyrus,2019-07-31,USQX91901092,2927,25,977870118,115565,34759006,80,122949402,1540598,177051,97555124,348624319,4872508,64,20650,257,42,258576,17,120010927,66285,3265268,1097743,0
El Dorado,Shakira,2017-05-26,USSD11700143,2911,25,433482670,36243,15506067,62,1080335262,3910533,389080,26721389,415634670,162147951,49,14262,59,24,279219,29,83819443,30684,3265268,3345147,0
Andamos Mejor,Los Gemelos De Sinaloa,2022-01-24,USDXS2200425,2930,25,209092342,22379,7376777,63,265900557,1262410,246700,11562330,200533647,186,6,20,86,15,237407,6,71876275,11600,3265268,443034,0
Drag Me Down,One Direction,2015-07-31,GBHMU1500070,2921,25,1125333823,110189,62083784,76,1124359897,10115690,139963,23957571,175883717,548604090,88,17232,89,45,582485,22,12735768,7818,3265268,4226136,0
Tu Turrito,Rei,2022-05-04,UYB282208022,2918,25,187818818,26770,6270168,57,291692983,1352658,154200,30899907,365176711,757784,8,2741,86,8,55693,2,12735768,7818,3265268,187231,0
greedy (Official Video),Tate McRae,2023-09-14,USRV82300987,2913,25,1256101755,32312,13264111,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,1
ýýýý ýýýýýýýýýý,ANNA ASTI,2022-06-03,RUA1D2242027,2922,25,21081306,7633,496465,51,375871120,962835,31931,3332788,74908911,27887420,20,1266,86,15,237407,17,12735768,7818,3265268,1180992,0
THE ANXIETY,THE ANXIETY,2020-03-13,QMJMT2002693,2923,25,609716786,136864,31328182,69,280056,4102,182019,153184031,1195714328,97746040,57,2436,1626,22,24028,18,42232240,43579,5318764,3251229,1
Get Off The Wall,Philly Goats,2023-06-02,USUM72307453,2926,25,8470479,2776,1823591,43,8291412,112395,1400151,60596180,503891783,97746040,2,277,11,15,237407,3,467480,1111,3265268,170102,1
It'll Be Okay,Shawn Mendes,2021-12-01,USUM72122321,2925,25,344658498,61117,28999986,65,114495950,2357556,130670,165436212,1514925086,1423088796,58,50031,97,36,1186938,22,20569697,3821,3265268,1497439,0
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)",La Pantera,2022-01-14,ES5152101308,2924,25,283228006,63076,8936948,62,169044728,998010,147165,84459330,906688195,237830514,13,4039,86,8,12464,22,12735768,7818,3265268,696795,1
Megahits 2012 - Die Erste,Gym Class Heroes,2011-01-01,USAT21101071,2916,25,1318596835,240081,51289471,74,1141964928,11343690,409892,126261133,1056131649,1178523905,43,67874,42,26,104829,7,12735768,7818,3265268,14060987,0
Number 2 / Never Last,Lil Tecca,2024-05-03,USUM72404634,2914,25,20742763,3204,22484728,67,148269610,1257935,182529,26576921,266064027,97746040,11,33,4,1,296367,6,326922,83,721526,854584,1
Tuesday (feat. Drake),ILOVEMAKONNEN,2014-09-01,USWB11402508,2912,25,242892279,50948,9808482,56,11099856,107229,66764,15206207,106882417,75417,6,30,86,5,2005,15,395833412,482127,105948813,1544862,1
Killshot,Eminem,2018-09-19,USUM71814876,2920,25,415971193,67750,12353206,66,596108481,7991689,22969,10336311,119866465,24772235,7,496,86,4,290313,11,178229694,110006,3265268,507667,1
Cartï¿½ï¿½o B,MC Caverinha,2023-05-11,BRRGE2300377,2917,25,143421339,23431,7023908,63,108239669,1037417,40500,12310702,125638371,5015995,6,449,86,14,399034,10,12735768,7818,3265268,75108,0
